,Time,X,Y,Z,A,B,C,LineNumber,ProgTime,X_Norm,Y_Norm,Distance,X_Trans,Y_Trans
2015,8.06,751.1309017481345,-483.9967482659644,8.918013614201024,-0.000713279301942,-0.000705483914081,0.002185600972611,2,1.304,0.9649480325621194,0.0007758262808543562,1.163,0.8593281801542973,0.17056557127493743
2016,8.064,751.2527686126001,-483.99829567661726,8.917416944961474,-0.00088678601116,-0.000901866357029,0.001868804492243,2,1.308,0.9679888607041492,0.0007615139774757964,1.157,0.8602525129300675,0.1705551614313081
2017,8.068,751.3695858709377,-483.999535321239,8.917664322052971,-0.001056026113259,-0.001054363787316,0.00139536450616,2,1.312,0.9709036908196657,0.0007500482622336178,1.153,0.8611385737188078,0.17054682500981955
2018,8.072,751.4812066008918,-483.9999955439323,8.9171159799435,-0.001147384674235,-0.001167286996057,0.000997961693105,2,1.316,0.9736888568971455,0.0007457915726497858,1.151,0.8619851518215371,0.17054374275461692
2019,8.076,751.5869019614713,-483.999895376897,8.915905764721035,-0.001172906311271,-0.001193437401055,0.000547887107494,2,1.32,0.9763261728594586,0.0007467180371248112,1.15,0.8627867506939857,0.1705444381184711
2020,8.08,751.6876176108832,-483.99993740989953,8.91479080872044,-0.001218162460048,-0.001259483552098,6.8172428249e-05,2,1.324,0.9788392348178303,0.0007463292656739942,1.151,0.8635506631715366,0.17054417363984287
2021,8.084,751.7814710418916,-483.9988391750272,8.913282593285516,-0.001170861056643,-0.001191699656439,-0.000345270992941,2,1.328,0.9811810703568659,0.0007564870545228626,1.153,0.8642623645290608,0.17055159772020445
2022,8.088,751.8683594658633,-483.9965272144567,8.910611511198505,-0.001054228426575,-0.001073132186459,-0.000771427452166,2,1.332,0.9833491146894118,0.0007778708294263758,1.157,0.8649210512969283,0.17056720644449863
2023,8.092,751.9479110787705,-483.99320045225926,8.907391640488058,-0.00087251404534,-0.000898179618288,-0.001028452536259,2,1.336,0.9853340905426358,0.000808640702795518,1.162,0.8655239300545557,0.17058965875884458
2024,8.096,752.0206743048722,-483.98874551246087,8.904744417577163,-0.000676422715651,-0.000668889606281,-0.00103823624735,2,1.34,0.987149682226274,0.0008498453111588499,1.168,0.866075131428826,0.17061971983758994
